Momentum: Eta=0.01, Lambda=0
  [=======================================>] 100.0%          8818513 function calls (8383423 primitive calls) in 9.911 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       61    0.000    0.000    0.010    0.000 fromnumeric.py:69(_wrapreduction)
       61    0.000    0.000    0.000    0.000 fromnumeric.py:70(<dictcomp>)
    30000    0.111    0.000    0.111    0.000 hydro.py:130(step_pressure)
    30000    0.152    0.000    8.310    0.000 hydro.py:142(step_euler_diffusive)
    30000    0.308    0.000    1.741    0.000 hydro.py:230(step_momentum)
    30000    0.280    0.000    0.949    0.000 hydro.py:258(step_density)
    30000    0.275    0.000    2.133    0.000 hydro.py:287(step_energy)
    90000    0.025    0.000    0.539    0.000 hydro.py:311(<lambda>)
    60000    0.393    0.000    1.937    0.000 hydro.py:311(get_q_diffusive)
       53    0.000    0.000    0.001    0.000 iostream.py:206(schedule)
       15    0.000    0.000    0.000    0.000 iostream.py:418(_is_master_process)
       15    0.000    0.000    0.000    0.000 iostream.py:437(_schedule_flush)
       12    0.000    0.000    0.004    0.000 iostream.py:451(flush)
       15    0.000    0.000    0.001    0.000 iostream.py:500(write)
       53    0.000    0.000    0.000    0.000 iostream.py:96(_event_pipe)
       11    0.000    0.000    0.000    0.000 lossfunc_CFD.py:28(CostDiff)
       20    0.226    0.011    9.403    0.470 lossfunc_CFD.py:32(func)
    30011    0.009    0.000    0.009    0.000 lossfunc_CFD.py:5(get_value)
      100    0.000    0.000    0.000    0.000 multiarray.py:1079(copyto)
       90    0.000    0.000    0.000    0.000 multiarray.py:152(concatenate)
       20    0.000    0.000    0.000    0.000 multiarray.py:345(where)
       40    0.000    0.000    0.000    0.000 multiarray.py:668(result_type)
      100    0.000    0.000    0.007    0.000 numeric.py:150(ones)
    15000    0.004    0.000    0.004    0.000 numpy_boxes.py:12(__getitem__)
       20    0.000    0.000    0.005    0.000 numpy_boxes.py:24(__neg__)
       20    0.000    0.000    0.002    0.000 numpy_boxes.py:33(__radd__)
       20    0.000    0.000    0.003    0.000 numpy_boxes.py:39(__rtruediv__)
       20    0.000    0.000    0.000    0.000 numpy_vjps.py:33(<lambda>)
       20    0.000    0.000    0.000    0.000 numpy_vjps.py:53(<lambda>)
       40    0.000    0.000    0.000    0.000 numpy_vjps.py:647(unbroadcast)
       40    0.000    0.000    0.000    0.000 numpy_vjps.py:658(unbroadcast_f)
       40    0.000    0.000    0.018    0.000 numpy_vjps.py:660(<lambda>)
       20    0.000    0.000    0.000    0.000 numpy_vjps.py:675(replace_zero)
       20    0.000    0.000    0.000    0.000 numpy_vjps.py:69(<lambda>)
    15000    0.002    0.000    0.002    0.000 numpy_vjps.py:701(<lambda>)
       10    0.000    0.000    0.000    0.000 numpy_vjps.py:71(<lambda>)
       20    0.000    0.000    0.000    0.000 numpy_vjps.py:75(<lambda>)
       10    0.000    0.000    0.000    0.000 numpy_vspaces.py:10(size)
       10    0.000    0.000    0.000    0.000 numpy_vspaces.py:14(zeros)
       40    0.000    0.000    0.006    0.000 numpy_vspaces.py:15(ones)
       90    0.000    0.000    0.000    0.000 numpy_vspaces.py:5(__init__)
       70    0.000    0.000    0.000    0.000 numpy_vspaces.py:57(<lambda>)
       40    0.000    0.000    0.000    0.000 numpy_wrapper.py:146(metadata)
       90    0.000    0.000    0.019    0.000 numpy_wrapper.py:35(concatenate_args)
       90    0.000    0.000    0.020    0.000 numpy_wrapper.py:38(<lambda>)
       30    0.000    0.000    0.002    0.000 numpy_wrapper.py:39(<lambda>)
       30    0.000    0.000    0.001    0.000 numpy_wrapper.py:39(<listcomp>)
       60    0.000    0.000    0.019    0.000 numpy_wrapper.py:40(hstack)
       60    0.000    0.000    0.001    0.000 numpy_wrapper.py:41(<listcomp>)
